date,state,top_10_excess_return,middle_10_excess_return,bottom_10_excess_return,top_minus_bottom,top_10_excess_return_nav,middle_10_excess_return_nav,bottom_10_excess_return_nav,top_minus_bottom_nav
2024-01-05,S3_range_or_uncertain,0.02046125880188249,-0.0018694611103688866,-0.004385465766202105,0.024846724568084594,1.0204612588018824,0.9981305388896311,0.9956145342337979,1.0248467245680846
2024-01-12,S3_range_or_uncertain,0.009679047815943235,-0.006170044020011457,-0.02113934835132483,0.030818396167268065,1.0303383521201435,0.9919720295269644,0.9745678917709876,1.0564308569365508
2024-01-19,S3_range_or_uncertain,0.01238097437762863,-0.010347038130104699,-0.019582589982662345,0.03196356436029098,1.0430949448580311,0.9817080571134515,0.9554833283361687,1.0901981526244395
2024-01-26,S3_range_or_uncertain,0.002948139796148804,-0.031573275022503774,-0.007736631084656238,0.010684770880805041,1.0461701345761287,0.9507123186344008,0.9480911063172922,1.1018466700999086
2024-02-02,S3_range_or_uncertain,0.009163453314996505,-0.00944364350379679,-0.00033880253343481214,0.009502255848431318,1.0557566657638606,0.9417341304225494,0.9477698906485449,1.1123166990649398
2024-02-19,S3_range_or_uncertain,0.039134159078411675,0.008812240964926337,-0.013666577391034346,0.052800736469446025,1.0970728150699571,0.9500329185047282,0.9348171200891043,1.171047839962832
2024-02-26,S3_range_or_uncertain,0.030858761482651133,-0.008145063153981003,0.034343165255917636,-0.0034844037732665034,1.1309271233993017,0.9422948403851462,0.9669216989283854,1.1669674364505898
2024-03-04,S1_trend,-0.0033244924475524886,0.006651434198601828,-0.008583660764672613,0.005259168317120125,1.1271673647188285,0.9485624525116502,0.9586219710787832,1.1731047146194815
2024-03-11,S1_trend,0.004644613343920003,0.0054882727660266846,0.002144841355873691,0.0024997719880463123,1.1324026213018328,0.9537684219866452,0.9606780631270022,1.1760372089241324
2024-03-18,S1_trend,0.0020576659016744952,-0.0007302626444962527,-0.03253489083719824,0.03459255673887273,1.1347327275626524,0.9530719205365682,0.9294225072134741,1.216719342800866
2024-03-25,S1_trend,0.005433721068467327,-0.008849123368368165,-0.009283412727841975,0.014717133796309304,1.140898548691489,0.9446380695328125,0.9207942944804658,1.234625964161424
2024-04-01,S1_trend,0.020089258672562397,0.005654672458534948,-0.024142447422600247,0.044231706095162644,1.1638183547553036,0.9499796884078833,0.8985640666389408,1.289235576945669
2024-04-10,S3_range_or_uncertain,-0.004386231961896825,0.0042789475595275605,-0.024909381140879476,0.020523149178982653,1.1587135774898338,0.9540446016771968,0.8761813918235328,1.3156947510181765
2024-04-17,S3_range_or_uncertain,0.007365093790923264,0.00867802367067343,-0.028356918842015185,0.03572201263293845,1.1672476116648627,0.9623238233134297,0.851335587204709,1.3626940155351386
2024-04-24,S3_range_or_uncertain,-0.006814346492951636,0.014045956823587342,0.00386939976618795,-0.010683746259139586,1.159293581995908,0.9758405821859996,0.8546297449267864,1.348135338444313
2024-05-06,S1_trend,0.006927515049361961,0.009504190540262707,-0.00339686024918117,0.010324375298543131,1.1673246057318134,0.9851151570160162,0.8517266871184768,1.3620539936316407
2024-05-13,S1_trend,0.0025625260033745483,-0.012584352195797286,0.006921299439461618,-0.004358773436087069,1.1703159053883803,0.9727181209267085,0.8576217425606044,1.356117108865683
2024-05-20,S1_trend,0.013136385338316424,-0.018699471919716923,-0.01601233356357489,0.029148718901891312,1.1856896260891228,0.9545288057386397,0.8438892171473497,1.3956461852700544
