,rank_ic
2024-01-05,0.19752665838444106
2024-01-12,0.1565770555125035
2024-01-19,0.13882215605625492
2024-01-26,0.19549854835541589
2024-02-02,0.14606073400815564
2024-02-19,0.3668269581143203
2024-02-26,-0.020168058464317892
2024-03-04,0.11674867460152076
2024-03-11,-0.06061014627644211
2024-03-18,0.30586864895675675
2024-03-25,0.11817790700608743
2024-04-01,0.23499709230684948
2024-04-10,0.11412311897596962
2024-04-17,0.2552728910088563
2024-04-24,-0.07725256414096825
2024-05-06,0.05711534341393308
2024-05-13,0.05805108156348114
2024-05-20,0.23736028759180663
2024-05-27,0.02573253365184885
2024-06-03,0.042762864043305995
2024-06-11,-0.10329608132326946
2024-06-18,0.10365686005050935
2024-06-25,0.027268791642052922
2024-07-02,-0.11056165517075803
2024-07-09,-0.16122349803998623
2024-07-16,0.19503981410063034
2024-07-23,0.11153039651664007
2024-07-30,0.01920805149630529
2024-08-06,0.10130379564161072
2024-08-13,0.15926377788389642
2024-08-20,0.14048033533738055
2024-08-27,-0.20557012487185083
2024-09-03,0.08883968196370778
2024-09-10,0.024169924984909157
2024-09-19,0.1762296575357875
2024-09-26,-0.21461447992310528
2024-10-10,0.029498232333334054
2024-10-17,0.267701186275255
2024-10-24,0.04799217837169552
2024-10-31,0.2001818470537192
2024-11-07,0.14789149949146432
2024-11-14,0.17048439703998783
2024-11-21,0.26569081252469656
2024-11-28,-0.14726519767529228
2024-12-05,0.04508428887755981
2024-12-12,0.05367500610429214
2024-12-19,0.08401694626443336
2024-12-26,0.33237425692968703
2025-01-03,-0.07462301259728628
2025-01-10,-0.10961116204260667
2025-01-17,-0.026111222542201704
2025-01-24,-0.14037125708781156
2025-02-10,0.10967153822887206
2025-02-17,-0.02825236952629658
2025-02-24,0.21280472727312888
2025-03-03,-0.2533219067173049
2025-03-10,0.09704659435635073
2025-03-17,0.32717549915769695
2025-03-24,0.14370861012630604
2025-03-31,0.3971927951558884
2025-04-08,0.06074958015430732
2025-04-15,0.12007445349394429
2025-04-22,0.09437067173579211
2025-04-29,0.06475897054811051
2025-05-09,0.25202354820216766
2025-05-16,0.17720860938580923
2025-05-23,-0.046133138385746474
2025-05-30,-0.17676319743508895
2025-06-09,0.1386003092370087
2025-06-16,0.1520620132740661
2025-06-23,-0.30145774671359493
2025-06-30,0.18134222082613843
2025-07-07,-0.14933563071196346
2025-07-14,-0.12713592436284554
2025-07-21,-0.1852373140165902
2025-07-28,-0.03218540717688194
2025-08-04,-0.11260258297930448
2025-08-11,-0.14839509262967449
2025-08-18,-0.17895047174291553
2025-08-25,-0.380727673451738
2025-09-01,0.20190133476547745
2025-09-08,-0.10536281866761611
2025-09-15,-0.03160058966699123
2025-09-22,-0.11884078318135968
2025-09-29,0.19648299764260574
2025-10-14,0.17947539740941312
2025-10-21,-0.25702013832050985
2025-10-28,0.3486457965110651
2025-11-04,-0.08924650039389713
2025-11-11,0.14053502749006175
2025-11-18,0.16449719321082004
2025-11-25,-0.26061509849524167
2025-12-02,-0.055740938226139146
2025-12-09,-0.024629710936112638
2025-12-16,-0.13442213031698894
2025-12-23,-0.15872397820543124
