date,strategy_return,benchmark_return,active_return,relative_nav,relative_drawdown,rolling_beta_60
2025-01-02,-0.024282804189339924,-0.029102564200308434,0.00481976001096851,1.0049642318882002,0.0,
2025-01-03,-0.010682211977445122,-0.011839089937035308,0.0011568779595901857,1.0061407821425243,0.0,
2025-01-06,0.0021699458775814584,-0.0016409878773511188,0.0038109337549325772,1.0099814204523132,0.0,
2025-01-07,0.00879454378669342,0.0071998450505046385,0.001594698736188782,1.0115805232546857,0.0,
2025-01-08,-0.002320943340221482,-0.0018152812381951877,-0.0005056621020262941,1.0110680750833771,-0.0005065816902640741,
2025-01-09,-0.012190717659309458,-0.002464362671424025,-0.009726354987885433,1.0012097736381127,-0.010252025793464181,
2025-01-10,-0.02023887168836125,-0.012539032354756396,-0.007699839333604852,0.9934027264242546,-0.017969698321143368,
2025-01-13,-0.0019097346207687105,-0.0026706097097346504,0.0007608750889659399,0.9941606058121537,-0.017220495098585697,
2025-01-14,0.03916707664118424,0.02633355477872068,0.01283352186246356,1.0065918293749856,-0.004931583561582853,
2025-01-15,-0.0011729226301571138,-0.0064163704607203,0.005243447830563186,1.0119039254956175,0.0,
2025-01-16,0.004028151371502586,0.0011480427162511297,0.0028801086552514565,1.0148149767385441,0.0,
2025-01-17,-0.00081695520605507,0.0031467872720229995,-0.0039637424780780695,1.0108051296436567,-0.0039513085506232,
2025-01-20,-0.0030969425135533024,0.004546547884070273,-0.007643490397623576,1.003114018347148,-0.011530139640825054,
2025-01-21,0.00036031745837172835,0.0007674278450708893,-0.000407110386699161,1.0027059533716602,-0.011932247399225826,
2025-01-22,-0.0009357323203234014,-0.00928817530589432,0.008352442985570918,1.0111595158487359,-0.0036020959225063764,
2025-01-23,0.002803523321001755,0.0017716539062111458,0.0010318694147906093,1.0122010551793912,-0.002575761709345037,
2025-01-24,0.009403383888017425,0.00765561509922863,0.001747768788788795,1.0139567079894511,-0.0008457391433572825,
2025-01-27,-0.014160787375999018,-0.004118069412324621,-0.010042717963674397,1.0037317195315272,-0.010921456089105885,
2025-02-05,-0.04117627002329394,-0.005762258061135728,-0.03541401196215821,0.9679795391194574,-0.046151701238789755,
2025-02-06,0.012201837904471935,0.012581009384506459,-0.0003791714800345236,0.9676170691233885,-0.046508879645078105,
2025-02-07,0.024237703032232938,0.012977932154705663,0.011259770877527275,0.9783726306708538,-0.03591033528575849,
2025-02-10,0.0051384660042888,0.0021473510822684894,0.0029911149220203104,0.9812927850490851,-0.03303281135758762,
2025-02-11,0.006171244959773059,-0.004595415299731065,0.010766660259504124,0.9919068069193053,-0.02257374038059834,
2025-02-12,-0.00031413639373245594,0.009458079618658521,-0.009772216012390977,0.9823044987332753,-0.032035867375304616,
2025-02-13,-0.006213684994260671,-0.003755744462432653,-0.002457940531828018,0.9798809504632472,-0.034424034997561304,
2025-02-14,0.004278184279260744,0.00867292849936252,-0.004394744220101776,0.9756116516432195,-0.038631007616105495,
2025-02-17,0.028290790158704615,0.0021297234913655316,0.026161066667339083,1.0010804516017222,-0.01353401896073958,
2025-02-18,-0.009994219681824124,-0.008769067623786708,-0.0012251520580374153,0.9998431256310718,-0.014753281583988365,
2025-02-19,0.01781647184574675,0.006996810198776737,0.010819661646970014,1.0105859246248858,-0.004167313461661548,
2025-02-20,-0.012587414797904595,-0.0028587671566635553,-0.00972864764124104,1.0007261033196946,-0.01388319421943196,
2025-02-21,0.002826296544857554,0.012611176269364144,-0.00978487972450659,0.9910560692655249,-0.02341205837282445,
2025-02-24,-0.0015282326769220367,-0.0021935711549539993,0.0006653384780319627,0.9917169065960009,-0.022760868406551116,
2025-02-25,-0.016913180239453762,-0.011100539408728682,-0.00581264083072508,0.9858877051316238,-0.028504971122803147,
2025-02-26,0.008807449377866261,0.008734856970219695,7.25924076465656e-05,0.9859586533710845,-0.02843505863521978,
2025-02-27,-0.0014398040832434011,0.0020644246972367775,-0.0035042287804801786,0.9825107466254174,-0.03183263043372453,
2025-02-28,-0.01335368430731465,-0.019673568010612597,0.006319883703297946,0.988844711979501,-0.025591132723038368,
2025-03-03,2.2018436978132883e-05,-0.0004048792187449912,0.0004268976557231241,0.989267018452034,-0.02517499137489798,
2025-03-04,0.006723896316986444,-0.0008365749648834298,0.007560471281869874,0.9967526055899386,-0.017798684058305092,
2025-03-05,0.011901515931407092,0.004465640435898033,0.007435875495509059,1.0041313828986125,-0.010527627286569086,
2025-03-06,0.005320047838698327,0.013751447443236753,-0.008431399604538425,0.9957799936443448,-0.01875709713644036,
2025-03-07,0.000754317666698423,-0.0030895520162214085,0.0038438696829198316,0.9996195045414056,-0.014973638097039554,
2025-03-10,0.0007163071662936726,-0.0038569842804817567,0.004573291446775429,1.0042087565443893,-0.010451383195231867,
2025-03-11,0.0018691637957026774,0.0032106479277906885,-0.001341484132088011,1.002865937750559,-0.01177459858385943,
2025-03-12,-0.0022162309923906554,-0.0035987066577088944,0.001382475665318239,1.0042573829080277,-0.010403466713160725,
2025-03-13,-0.0009743623999708406,-0.00398575892638886,0.00301139652641802,1.0072937021390251,-0.007411473787755085,
2025-03-14,0.023759428280256012,0.024281242945623616,-0.0005218146653676037,1.0067805416865334,-0.007917142766095342,
2025-03-17,0.004531817904966928,-0.0024382530936162272,0.0069700709985831555,1.0138150253937417,-0.0009853533577284246,
2025-03-18,0.011329007257430135,0.0027359469654131274,0.008593060292017007,1.0225030291144876,0.0,
2025-03-19,-0.014611984948022183,0.000610072103286674,-0.015222057051308857,1.006947919408666,-0.015212776160959507,
2025-03-20,-0.0030827122860919154,-0.008771702332670328,0.005688990046578413,1.0127271296112195,-0.009560753586944748,
2025-03-21,-0.006162247533523679,-0.015168835559920657,0.009006588026396978,1.0219888349358572,-0.0005028779025483265,
2025-03-24,0.005948228178416226,0.0051480370378695905,0.0008001911405466355,1.022802432914781,0.0,
2025-03-25,-0.005737928773745571,-0.0006490719211842411,-0.00508885685256133,1.0175941571997018,-0.005092162031954284,
2025-03-26,-0.011526063919221063,-0.0032901905884477056,-0.008235873330773358,1.009185715242278,-0.0133131455638974,
2025-03-27,-0.009086583708293072,0.0033309035129995834,-0.012417487221292656,0.9966957673307217,-0.0255246416550462,
2025-03-28,-0.008230195132087337,-0.0043856035430671625,-0.0038445915890201743,0.9928469999991844,-0.029287604283683266,
2025-03-31,-0.0011305374288551606,-0.0071159179457525035,0.005985380516897343,0.998832156975173,-0.023435880838978296,
2025-04-01,0.0026723775822043994,9.723957928708948e-05,0.00257513800291731,1.0014040375325521,-0.020921337976531396,
2025-04-02,0.005183406725839168,-0.0008483199766237126,0.006031726702462881,1.0074493613746718,-0.015010789030248994,
2025-04-03,-0.017532332704913722,-0.0058910211292080294,-0.011641311575705693,0.9956518299552995,-0.026545305413585685,1.0117606206369127
2025-04-07,-0.09294396345523936,-0.07045494979545541,-0.022489013659783952,0.971563457262307,-0.05009665014821407,1.1949162834054106
2025-04-08,0.004558299748091965,0.01708288282214432,-0.012524583074052353,0.9595994104400549,-0.06179396962775119,1.1698705992977838
2025-04-09,0.007094175900266508,0.009870550206135142,-0.002776374305868634,0.9569612434526834,-0.06437332112562866,1.1663886699868868
2025-04-10,0.030902366767641576,0.013106509341178185,0.01779585742646339,0.9737708737275985,-0.04793844598849095,1.1885959781321327
2025-04-11,0.006542246302984056,0.004123567815180973,0.002418678487803083,0.9761164402891511,-0.04564517166094739,1.189626558451674
2025-04-14,0.012826262077190176,0.002299682950377191,0.010526579126812985,0.9863680318245697,-0.03562212986371227,1.189938220713993
2025-04-15,-0.002776984490132972,0.0005567759877120881,-0.0033337604778450602,0.9830815468993535,-0.03883534565148705,1.1827416310780752
2025-04-16,-0.015485529128771658,0.00308010533774139,-0.018565634466513048,0.9648860582704946,-0.056625182714159505,1.1775010365640401
2025-04-17,0.0021079278145035296,-0.00015850212838142141,0.002266429942884951,0.9670732515992287,-0.05448675083489507,1.1508908277885743
2025-04-18,0.01664022138392296,7.979381913369998e-05,0.01656042756478926,0.9830871203244382,-0.03882989648075241,1.1561802858583472
2025-04-21,0.014029964248517768,0.0032757918241981265,0.010754172424319641,0.9936248891874485,-0.02852705741438477,1.1598334511222785
2025-04-22,-0.008858623227733342,-0.00024545025325750647,-0.008613172974475836,0.9850645250015752,-0.036896576209405674,1.1615890390622725
2025-04-23,0.030966570265685167,0.0007743227186813861,0.03019224754700378,1.0147828254350082,-0.007840817758829943,1.16914722333489
2025-04-24,-0.016573571735318038,-0.0006667754632967426,-0.015906796272021295,0.9986301115371746,-0.023633421861072423,1.1702330196970314
2025-04-25,0.016398889201613143,0.0006968158659450552,0.015702073335668087,1.0142997559269131,-0.008313117679664583,1.1823773250971368
2025-04-28,-0.013725813853170177,-0.0014193315331368916,-0.012306482320033285,1.0017995519797518,-0.020534641157603728,1.1842677097178989
2025-04-29,-0.0049082916565798,-0.001729946882538913,-0.0031783447740408866,0.9986099698013341,-0.023653114555567845,1.1843950427578864
2025-04-30,0.00658131992765143,-0.001193618037459987,0.007774937965111417,1.0063833788491332,-0.016053006462701358,1.1790068624166503
2025-05-06,0.02968912251784439,0.010070358043914318,0.019618764473930073,1.025930530513256,0.0,1.1756828118908618
2025-05-07,-0.0007301947583684409,0.0060613746677862235,-0.006791569426154664,1.0190048313463504,-0.0067506511999800844,1.1746942464042054
2025-05-08,0.044284368172962996,0.005550905659658545,0.03873346251330445,1.0582565342822026,0.0,1.187262843685925
2025-05-09,-0.014113515824628053,-0.0017490739433403402,-0.012364441881287713,1.0451488565710347,-0.012386106096721194,1.1895374870687567
2025-05-12,0.040596405887516784,0.011557770522628186,0.0290386353648886,1.07515178614402,0.0,1.2309319603724882
2025-05-13,-0.004117286570771039,0.0014517003760334823,-0.005568986946804522,1.069172959346261,-0.005560914165619102,1.2450858584257758
2025-05-14,0.0025751567355567495,0.012050793350953715,-0.009475636615396965,1.0591624988947368,-0.0148716557562798,1.223822195613144
2025-05-15,-0.019650246965633222,-0.00913265863784607,-0.010517588327787153,1.04791998976098,-0.02532832734316104,1.242551682089913
2025-05-16,-0.0007381937974062502,-0.004636057697598672,0.003897863900192422,1.0520236641305087,-0.021511494759692718,1.2338626815154055
2025-05-19,-0.006440988342261811,-0.0030701308919707238,-0.003370857450291087,1.0484665214307018,-0.02481999756427289,1.23501590933765
2025-05-20,0.014355034978057901,0.005423062588580052,0.008931972389477849,1.0577808830851878,-0.01615669832176181,1.2324295502533034
2025-05-21,0.010279688288729494,0.004671421546155852,0.005608266742573642,1.0636856169318092,-0.010664698101217618,1.2310156012148008
2025-05-22,0.0190477992080178,-0.0006424298350952151,0.019690229043113017,1.0846432941962103,0.0,1.2517857589874284
2025-05-23,-0.008558079506264304,-0.008071560976170566,-0.000486518530093738,1.0841113011204924,-0.0004904774487285435,1.2517928250715789
2025-05-26,-0.007906690036311725,-0.005709797917406112,-0.0021968921189056134,1.0817159485680286,-0.0026989016977706504,1.2471395610782403
2025-05-27,0.00043581971649819806,-0.005365136251404445,0.0058009559679026435,1.0880247829112888,0.0,1.2481489271632322
2025-05-28,-0.01581417494613646,-0.0008230459105947885,-0.014991129035541673,1.0717006274674166,-0.015003477586413738,1.250701288871605
2025-05-29,0.013820405548627512,0.005855477646453888,0.007964927902173624,1.080186954201417,-0.0072037225925126736,1.2788033890544561
2025-05-30,-0.005893462090069912,-0.004786067846684117,-0.0011073942433857953,1.0789850087942874,-0.008308426663603319,1.279594729410759
2025-06-03,0.0126135881116487,0.0030677834047525554,0.009545804706896144,1.089253288113017,0.0,1.283090758269402
2025-06-04,0.013811349006938034,0.004343183680844298,0.009468165326093736,1.0995219197734103,0.0,1.2842017625929947
2025-06-05,0.0004772982014797922,0.0022780008907286042,-0.001800702689248812,1.0975465076860806,-0.0017966100100457183,1.3088386168415844
2025-06-06,0.003050066917410277,-0.0009211988169868235,0.0039712657343971,1.1019091754083061,0.0,1.3097464194166366
2025-06-09,0.013730050231830937,0.0029070847995242843,0.010822965432306653,1.1138005311437873,0.0,1.314977035248596
